id,zone,from,subject,body,giveawayPhrase,level1,level2
E001,,security-alert@apple-id-support.net,Your Apple ID has been LOCKED — Immediate Action Required,"Dear Apple User,  We have detected multiple failed login attempts on your Apple ID account. As a precaution, your account has been LOCKED and all purchases have been suspended.  To unlock your account and avoid permanent closure, you MUST verify your identity in the next 24 HOURS by clicking the button below:  [ UNLOCK MY APPLE ID NOW ]  If you do not verify within 24 hours, your Apple ID will be permanently deleted along with all associated purchases, photos, and data.  Apple Support Team apple-id-support.net","your Apple ID will be permanently deleted along with all associated purchases, photos, and data",Phishing & Spoofing,Email Phishing
E002,,winner-notifications@prize-global-awards.xyz,"🏆 YOU ARE OUR GRAND PRIZE WINNER — Claim $5,000 Cash Today","CONGRATULATIONS!!!  Your email address was randomly selected as the GRAND PRIZE WINNER of our Global Cash Sweepstakes. You have won FIVE THOUSAND DOLLARS ($5,000) in cash!  To claim your prize, you must: 1. Reply to this email with your full name, home address, and date of birth 2. Pay a one-time processing and release fee of $49.99 3. Provide your bank account details so we can transfer your winnings  This offer expires in 48 hours. If we do not hear from you, your prize will be forfeited and awarded to another winner.  Global Prize Awards Team prize-global-awards.xyz",Pay a one-time processing and release fee of $49.99,High-Risk Fraud,Advance Fee Fraud
E003,,billing@netflix.com,Your Netflix membership — March 2026 billing confirmation,"Hi there,  Your Netflix Standard plan has been successfully renewed.  Plan: Standard (1080p) Amount charged: $15.49 Billing date: March 14, 2026 Next billing date: April 14, 2026  If you have questions about your membership or need to update your payment method, visit netflix.com/account or contact us at help.netflix.com.  — The Netflix Team",visit netflix.com/account or contact us at help.netflix.com,Legitimate,Subscription Billing
E004,,deals@bestbuy-exclusive-offers.com,FLASH SALE: 90% OFF all electronics — Today Only!!!,"Hi Valued Customer,  We are clearing our entire electronics inventory and passing the savings directly to YOU. For the next 6 hours only, enjoy 90% OFF on ALL products including:  • iPhone 15 Pro — now just $119.99 (was $1,199) • MacBook Pro 16"" — now just $249.99 (was $2,499) • Samsung 65"" QLED TV — now just $89.99 (was $899)  These prices are REAL and LIMITED. Click below to shop before stock runs out.  [ SHOP THE FLASH SALE NOW ]  This email was sent to you because you are a Best Buy rewards member. Unsubscribe: bestbuy-exclusive-offers.com/unsubscribe","iPhone 15 Pro — now just $119.99 (was $1,199)",Spam & Junk,Bulk Marketing Spam
E005,,no-reply@github.com,[GitHub] A new SSH key was added to your account,"Hey there,  A new public SSH key was recently added to your GitHub account.  Key fingerprint: SHA256:uNiVztksCsDhcc0u9e8BujQXVUpKZIDTMczCvj3tD2s Added: March 14, 2026 at 09:42 UTC  If you added this key, no further action is needed. If you did not add this key, remove it immediately and secure your account: github.com/settings/security  If you're having trouble, contact GitHub Support at support.github.com.  — The GitHub Team","If you did not add this key, remove it immediately and secure your account: github.com/settings/security",Legitimate,Security Notification
E006,,support@paypa1-account-services.com,Your PayPal account has been limited — verify now,"Dear PayPal Customer,  We have noticed some unusual activity associated with your PayPal account and have temporarily limited what you can do until we confirm your identity.  To restore your account, please provide the following within 72 hours: • Your full credit card number and expiry date • Your billing address and Social Security Number • A photo of your government-issued ID  Click below to submit your verification documents securely: [ VERIFY MY ACCOUNT ] paypa1-account-services.com/verify  Failure to complete verification will result in your account being permanently closed and any funds being held for 180 days.  PayPal Security Team",Your full credit card number and expiry date • Your billing address and Social Security Number • A photo of your government-issued ID,Phishing & Spoofing,Email Phishing
E007,,hr@acmecorp.com,Office closure — Friday March 15 (public holiday),"Hi team,  Just a quick reminder that the office will be closed this Friday, March 15, in observance of the public holiday.  If you have any urgent matters, please ensure they are completed by end of day Thursday. The office will reopen as normal on Monday, March 18.  Have a great long weekend everyone.  Best, Rachel People & Culture","The office will reopen as normal on Monday, March 18",Legitimate,Internal Communication
E008,,crypto-profits@bitcoin-wealth-system.io,"I made $94,000 in 11 days — I'll show you exactly how","Hi,  My name is James and 3 months ago I was $40,000 in debt. Then a friend showed me a trading algorithm that the major banks have been desperately trying to suppress.  In just 11 days, I turned a $500 investment into $94,000.  This system works automatically. You don't need any experience. All you need is 15 minutes a day and a starting deposit of $250.  ⚠️ WARNING: Due to pressure from financial institutions, this page may be taken down at any time. Act NOW before it disappears.  Real results from real people: ""Made $12,000 in my first week!"" — Sandra K. ""Quit my job after 3 weeks!"" — Mike T.  [ ACCESS THE SYSTEM BEFORE IT'S GONE ]","Due to pressure from financial institutions, this page may be taken down at any time",High-Risk Fraud,Advance Fee Fraud
E009,,noreply@amazon.com,Your Amazon order #112-3847291-9384756 has been delivered,"Hello,  Your package has been delivered.  Order: #112-3847291-9384756 Item: Kindle Paperwhite (16GB, Black) Delivered: March 14, 2026 at 2:14 PM Left at: Front door  Track your delivery or report an issue at: amazon.com/orders  Thank you for shopping with Amazon.",Track your delivery or report an issue at: amazon.com/orders,Legitimate,Shipping Update
E010,,admin@microsoft-account-verify.net,Microsoft Account: Sign-in from unknown device blocked,"Dear Microsoft Account User,  A sign-in attempt to your Microsoft account was blocked because it came from an unrecognised device in Lagos, Nigeria.  To confirm your identity and restore access, click the link below and enter your Microsoft username and password:  [ CONFIRM MY IDENTITY ] http://microsoft-account-verify.net/login?ref=security  If you do not confirm within 12 hours, your account will be suspended and you will lose access to all Microsoft 365 services, OneDrive files, and Outlook emails permanently.  Microsoft Account Team microsoft-account-verify.net",click the link below and enter your Microsoft username and password,Phishing & Spoofing,Email Phishing
